SourceFile,FileName,DateTimeOriginal,ExposureTime,ISO,DriveMode,ImageCount
/run/media/mike/disk/DCIM/128_FUJI/_DSF8273.RAF,_DSF8273.RAF,2026:08:01 21:10:46,1/500,320,Continuous High,9507
/run/media/mike/disk/DCIM/128_FUJI/_DSF8274.RAF,_DSF8274.RAF,2026:08:01 21:10:46,1/500,320,Continuous High,9508
/run/media/mike/disk/DCIM/128_FUJI/_DSF8275.RAF,_DSF8275.RAF,2026:08:01 21:10:46,1/500,320,Continuous High,9509
/run/media/mike/disk/DCIM/128_FUJI/_DSF8276.RAF,_DSF8276.RAF,2026:08:01 21:10:46,1/500,320,Continuous High,9510
/run/media/mike/disk/DCIM/128_FUJI/_DSF8277.RAF,_DSF8277.RAF,2026:08:01 21:10:46,1/500,320,Continuous High,9511
/run/media/mike/disk/DCIM/128_FUJI/_DSF8278.RAF,_DSF8278.RAF,2026:08:01 21:10:46,1/500,320,Continuous High,9512
/run/media/mike/disk/DCIM/128_FUJI/_DSF8279.RAF,_DSF8279.RAF,2026:08:01 21:10:46,1/500,320,Continuous High,9513
/run/media/mike/disk/DCIM/128_FUJI/_DSF8280.RAF,_DSF8280.RAF,2026:08:01 21:10:47,1/500,320,Continuous High,9514
/run/media/mike/disk/DCIM/128_FUJI/_DSF8281.RAF,_DSF8281.RAF,2026:08:01 21:10:47,1/500,320,Continuous High,9515
/run/media/mike/disk/DCIM/128_FUJI/_DSF8282.RAF,_DSF8282.RAF,2026:08:01 21:10:47,1/500,320,Continuous High,9516
/run/media/mike/disk/DCIM/128_FUJI/_DSF8283.RAF,_DSF8283.RAF,2026:08:01 21:10:47,1/500,320,Continuous High,9517
/run/media/mike/disk/DCIM/128_FUJI/_DSF8284.RAF,_DSF8284.RAF,2026:08:01 21:10:47,1/500,320,Continuous High,9518
/run/media/mike/disk/DCIM/128_FUJI/_DSF8285.RAF,_DSF8285.RAF,2026:08:01 21:10:47,1/500,320,Continuous High,9519
/run/media/mike/disk/DCIM/128_FUJI/_DSF8286.RAF,_DSF8286.RAF,2026:08:01 21:10:47,1/500,320,Continuous High,9520
/run/media/mike/disk/DCIM/128_FUJI/_DSF8287.RAF,_DSF8287.RAF,2026:08:01 21:10:47,1/500,320,Continuous High,9521
/run/media/mike/disk/DCIM/128_FUJI/_DSF8288.RAF,_DSF8288.RAF,2026:08:01 21:10:47,1/500,320,Continuous High,9522
/run/media/mike/disk/DCIM/128_FUJI/_DSF8289.RAF,_DSF8289.RAF,2026:08:01 21:10:47,1/500,320,Continuous High,9523
/run/media/mike/disk/DCIM/128_FUJI/_DSF8290.RAF,_DSF8290.RAF,2026:08:01 21:10:47,1/500,320,Continuous High,9524
/run/media/mike/disk/DCIM/128_FUJI/_DSF8291.RAF,_DSF8291.RAF,2026:08:01 21:10:47,1/500,320,Continuous High,9525
/run/media/mike/disk/DCIM/128_FUJI/_DSF8292.RAF,_DSF8292.RAF,2026:08:01 21:11:02,1/500,320,Continuous High,9526
/run/media/mike/disk/DCIM/128_FUJI/_DSF8293.RAF,_DSF8293.RAF,2026:08:01 21:11:02,1/500,320,Continuous High,9527
/run/media/mike/disk/DCIM/128_FUJI/_DSF8294.RAF,_DSF8294.RAF,2026:08:01 21:11:02,1/500,320,Continuous High,9528
/run/media/mike/disk/DCIM/128_FUJI/_DSF8295.RAF,_DSF8295.RAF,2026:08:01 21:11:02,1/500,320,Continuous High,9529
/run/media/mike/disk/DCIM/128_FUJI/_DSF8296.RAF,_DSF8296.RAF,2026:08:01 21:11:02,1/500,320,Continuous High,9530
/run/media/mike/disk/DCIM/128_FUJI/_DSF8297.RAF,_DSF8297.RAF,2026:08:01 21:11:02,1/500,320,Continuous High,9531
/run/media/mike/disk/DCIM/128_FUJI/_DSF8298.RAF,_DSF8298.RAF,2026:08:01 21:11:02,1/500,320,Continuous High,9532
/run/media/mike/disk/DCIM/128_FUJI/_DSF8299.RAF,_DSF8299.RAF,2026:08:01 21:11:02,1/500,320,Continuous High,9533
/run/media/mike/disk/DCIM/128_FUJI/_DSF8300.RAF,_DSF8300.RAF,2026:08:01 21:11:02,1/500,320,Continuous High,9534
/run/media/mike/disk/DCIM/128_FUJI/_DSF8301.RAF,_DSF8301.RAF,2026:08:01 21:11:02,1/500,320,Continuous High,9535
/run/media/mike/disk/DCIM/128_FUJI/_DSF8302.RAF,_DSF8302.RAF,2026:08:01 21:11:02,1/500,320,Continuous High,9536
/run/media/mike/disk/DCIM/128_FUJI/_DSF8303.RAF,_DSF8303.RAF,2026:08:01 21:11:02,1/500,320,Continuous High,9537
/run/media/mike/disk/DCIM/128_FUJI/_DSF8304.RAF,_DSF8304.RAF,2026:08:01 21:11:02,1/500,320,Continuous High,9538
/run/media/mike/disk/DCIM/128_FUJI/_DSF8305.RAF,_DSF8305.RAF,2026:08:01 21:11:02,1/500,320,Continuous High,9539
/run/media/mike/disk/DCIM/128_FUJI/_DSF8306.RAF,_DSF8306.RAF,2026:08:01 21:11:03,1/500,320,Continuous High,9540
/run/media/mike/disk/DCIM/128_FUJI/_DSF8307.RAF,_DSF8307.RAF,2026:08:01 21:11:03,1/500,320,Continuous High,9541
/run/media/mike/disk/DCIM/128_FUJI/_DSF8308.RAF,_DSF8308.RAF,2026:08:01 21:11:03,1/500,320,Continuous High,9542
/run/media/mike/disk/DCIM/128_FUJI/_DSF8309.RAF,_DSF8309.RAF,2026:08:01 21:11:03,1/500,320,Continuous High,9543
/run/media/mike/disk/DCIM/128_FUJI/_DSF8310.RAF,_DSF8310.RAF,2026:08:01 21:11:03,1/500,320,Continuous High,9544
/run/media/mike/disk/DCIM/128_FUJI/_DSF8311.RAF,_DSF8311.RAF,2026:08:01 21:11:03,1/500,320,Continuous High,9545
/run/media/mike/disk/DCIM/128_FUJI/_DSF8312.RAF,_DSF8312.RAF,2026:08:01 21:11:03,1/500,320,Continuous High,9546
/run/media/mike/disk/DCIM/128_FUJI/_DSF8313.RAF,_DSF8313.RAF,2026:08:01 21:11:03,1/500,320,Continuous High,9547
/run/media/mike/disk/DCIM/128_FUJI/_DSF8314.RAF,_DSF8314.RAF,2026:08:01 21:11:03,1/500,320,Continuous High,9548
/run/media/mike/disk/DCIM/128_FUJI/_DSF8315.RAF,_DSF8315.RAF,2026:08:01 21:11:03,1/500,320,Continuous High,9549
/run/media/mike/disk/DCIM/128_FUJI/_DSF8316.RAF,_DSF8316.RAF,2026:08:01 21:11:03,1/500,320,Continuous High,9550
/run/media/mike/disk/DCIM/128_FUJI/_DSF8317.RAF,_DSF8317.RAF,2026:08:01 21:11:03,1/500,320,Continuous High,9551
/run/media/mike/disk/DCIM/128_FUJI/_DSF8318.RAF,_DSF8318.RAF,2026:08:01 21:11:03,1/500,320,Continuous High,9552
/run/media/mike/disk/DCIM/128_FUJI/_DSF8319.RAF,_DSF8319.RAF,2026:08:01 21:11:03,1/500,320,Continuous High,9553
/run/media/mike/disk/DCIM/128_FUJI/_DSF8320.RAF,_DSF8320.RAF,2026:08:01 21:11:03,1/500,320,Continuous High,9554
/run/media/mike/disk/DCIM/128_FUJI/_DSF8321.RAF,_DSF8321.RAF,2026:08:01 21:11:04,1/500,320,Continuous High,9555
/run/media/mike/disk/DCIM/128_FUJI/_DSF8322.RAF,_DSF8322.RAF,2026:08:01 21:11:04,1/500,320,Continuous High,9556
/run/media/mike/disk/DCIM/128_FUJI/_DSF8323.RAF,_DSF8323.RAF,2026:08:01 21:11:04,1/500,320,Continuous High,9557
